Year,Ticker,Environmental Disclosure Score,GHG Scope 1,Total Energy Consumption,Change_in_EDS,Change_in_GHG,Change_in_TEC,Company,Total_Assets,Net_Income,Total_Sales,Change_in_Sales,Change_in_Assets,Change_in_NI,ROA,Profit_Margin,Annual_Stock_Return,Ratio of GHG Emissions to Total Assets,Ratio of GHG Emissions to Total Sales,Ratio of Total Energy Consumption to Total Assets,Ratio of Total Energy Consumption to Total Sales,Profitable,Logarithm_Total_Assets,Logarithm_Total_Sales
2019,COP,66.9,19500.0,66150.0,9.31372549019609,1.5625,-1.3157894736842146,CONOCOPHILLIPS,70514.0,7189.0,32567.0,-10.571985611115686,0.7630751643326716,14.895317244685957,10.195138554046006,22.074492584518072,17.16458972269692,276.54082877159146,598.7656216415389,938.1115806790141,2031.1972241839899,True,11.163566550645935,10.391054784724917
2005,CVX,,,,,,,CHEVRON CORP,125833.0,14099.0,184922.0,0.0,0.0,0.0,11.204532992140377,7.624295648976326,,,,,,True,11.742710909992976,12.127689393531453
2006,CVX,30.6,65400.0,264600.0,,,,CHEVRON CORP,132628.0,17138.0,195341.0,5.63426742085853,5.40001430467365,21.554720192921483,12.921856621527883,8.773375789004868,,493.1085441988117,334.7991461085998,1995.0538347860181,1354.5543434302067,True,11.795303495830103,12.182502028267571
2007,CVX,30.6,63700.0,269892.0,0.0,-2.599388379204892,2.0000000000000018,CHEVRON CORP,148786.0,18688.0,203970.0,4.417403412494059,12.182947793829356,9.044229198272834,12.560321535628352,9.16213168603226,,428.13167905582515,312.3008285532186,1813.96099095345,1323.1945874393293,True,11.910264310933256,12.225728203188615
2008,CVX,34.7,62700.0,268716.0,13.398692810457513,-1.5698587127158548,-0.43572984749454813,CHEVRON CORP,161165.0,23931.0,255112.0,25.07329509241556,8.320003226109973,28.055436643835606,14.848757484565509,9.380585781931075,,389.0422858561102,245.77440496723008,1667.3347190767226,1053.3255981686475,True,11.990183963892271,12.449457943399862
2009,CVX,37.2,60800.0,225556.0,7.204610951008639,-3.0303030303030276,-16.061566858690956,CHEVRON CORP,164621.0,10483.0,159293.0,-37.559581673931454,2.144386188068137,-56.19489365258452,6.367960345277941,6.580954593108297,,369.3331956433262,381.68657756461363,1370.1532611270736,1415.9818698875656,True,12.011401141104225,11.978500552685318
2010,CVX,37.2,62100.0,263722.0,0.0,2.1381578947368363,16.920853357924415,CHEVRON CORP,184769.0,19024.0,189607.0,19.030340316272532,12.23902175299627,81.47476867308976,10.296099453912722,10.033384843386584,,336.09534066861863,327.5195536029788,1427.3065286925837,1390.8874672348595,True,12.126861675200548,12.152708787952761
2011,CVX,35.5,61600.0,263889.0,-4.569892473118287,-0.8051529790660261,0.06332425812030085,CHEVRON CORP,209474.0,26895.0,236286.0,24.618816815834865,13.37074942225156,41.37405382674517,12.839302252308164,11.382392524313756,,294.069908437324,260.7010148718079,1259.769708889886,1116.8202940504304,True,12.252354905630732,12.372798214699571
2012,CVX,47.1,70000.0,255000.0,32.67605633802817,13.636363636363647,-3.3684617395950522,CHEVRON CORP,232982.0,26179.0,222580.0,-5.800597580897726,11.222395142117868,-2.6622048707938273,11.236490372646815,11.761613801779136,,300.4523954640273,314.4936651990296,1094.5051549046707,1145.6554946536078,True,12.35871647634477,12.313041866527415
2013,CVX,49.6,69000.0,258056.0,5.307855626326963,-1.4285714285714235,1.1984313725490248,CHEVRON CORP,253753.0,21423.0,211664.0,-4.904304070446585,8.915281008833297,-18.167233278582074,8.442461763998848,10.12122987376219,15.430274180494163,271.91796747230575,325.9883589084587,1016.9574349859903,1219.1775644417567,True,12.444116631928345,12.26275539070216
2014,CVX,46.3,66000.0,257500.0,-6.653225806451624,-4.347826086956519,-0.21545711008463808,CHEVRON CORP,266026.0,19241.0,192308.0,-9.144682137727722,4.836593064909578,-10.185314848527282,7.232751685925436,10.005303991513612,0.13314206800096873,248.0960507619556,343.1994508808786,967.950501078842,1338.9978576034277,True,12.49134932734807,12.166853532375612
2015,CVX,46.3,68000.0,243056.0,0.0,3.0303030303030276,-5.609320388349515,CHEVRON CORP,266103.0,4587.0,122566.0,-36.26578197474885,0.028944539255570945,-76.16028272958786,1.723768615911884,3.7424734428797546,-4.876718601237984,255.54014798780923,554.8031264787951,913.3906795488965,1983.0621869033828,True,12.491638730859389,11.716404939389708
2016,CVX,46.3,66000.0,252500.0,0.0,-2.941176470588236,3.8855243236126658,CHEVRON CORP,260078.0,-497.0,103310.0,-15.710719122758354,-2.2641608700390448,-110.83496838892522,-0.19109651719868653,-0.481076372084019,-11.838971600431659,253.77002283930204,638.8539347594618,970.8625873776328,2444.100280708547,False,12.468736865006663,11.54548945584349
2017,CVX,48.8,63000.0,237222.0,5.399568034557234,-4.545454545454541,-6.050693069306934,CHEVRON CORP,253806.0,9195.0,127485.0,23.400445261833312,-2.411584217042584,-1950.1006036217304,3.622845795607669,7.212613248617485,34.506607958359645,248.22108224391857,494.17578538651605,934.6587551121723,1860.7836216025414,True,12.444325474644927,11.755753989600837
