,gvkey,datadate,fyear,tic,cusip,conm,at,ni,sale,cik,Change_in_Sales,Change_in_Assets,Change_in_NI,ROA,Profit_Margin
0,1075,20051231,2005,PNW,723484101,PINNACLE WEST CAPITAL CORP,11322.645,176.267,2987.955,764622,0.0,0.0,0.0,1.5567652257930897,5.899252164105551
1,1075,20061231,2006,PNW,723484101,PINNACLE WEST CAPITAL CORP,11455.943,327.255,3401.748,764622,13.84870254070092,1.1772690921599827,85.65868823999956,2.8566395625397227,9.620201143647325
2,1075,20071231,2007,PNW,723484101,PINNACLE WEST CAPITAL CORP,11243.712,307.143,3523.62,764622,3.582628695600021,-1.8525842874741905,-6.145666223587121,2.7316868308259763,8.716689086791424
3,1075,20081231,2008,PNW,723484101,PINNACLE WEST CAPITAL CORP,11620.093,242.125,3367.076,764622,-4.442703810286009,3.3474799069915795,-21.168641316911007,2.0836752339245477,7.19095737666747
4,1075,20091231,2009,PNW,723484101,PINNACLE WEST CAPITAL CORP,11808.155,68.33,3297.101,764622,-2.0782126687963087,1.6184207820023389,-71.77903975219411,0.5786678782587118,2.072426656022973
5,1075,20101231,2010,PNW,723484101,PINNACLE WEST CAPITAL CORP,12362.703,350.053,3263.645,764622,-1.014709588817575,4.696313691681708,412.29767305722226,2.8315247887132777,10.72582955560424
6,1075,20111231,2011,PNW,723484101,PINNACLE WEST CAPITAL CORP,13111.018,339.473,3241.379,764622,-0.6822433199689337,6.053004751468993,-3.022399465223835,2.589219235302705,10.47310419423338
7,1075,20121231,2012,PNW,723484101,PINNACLE WEST CAPITAL CORP,13379.615,381.542,3301.804,764622,1.864175710399807,2.048635735226667,12.392443581669221,2.8516665090886395,11.555561747456844
8,1075,20131231,2013,PNW,723484101,PINNACLE WEST CAPITAL CORP,13508.686,406.074,3454.628,764622,4.6285000563328405,0.9646839613845382,6.42969843424841,3.006021459081957,11.75449281369803
9,1075,20141231,2014,PNW,723484101,PINNACLE WEST CAPITAL CORP,14313.532,397.595,3491.632,764622,1.071142826376681,5.957988808089842,-2.0880430660421445,2.777756042324145,11.387082029263107
10,1075,20151231,2015,PNW,723484101,PINNACLE WEST CAPITAL CORP,15028.258,437.257,3495.443,764622,0.10914666837742448,4.993358732142417,9.975477558822421,2.909565433332326,12.509344309147652
11,1075,20161231,2016,PNW,723484101,PINNACLE WEST CAPITAL CORP,16004.253,442.034,3498.682,764622,0.09266350502639131,6.494398752004393,1.092492515843091,2.761978331634722,12.63430057375892
12,1075,20171231,2017,PNW,723484101,PINNACLE WEST CAPITAL CORP,17019.082,488.456,3565.296,764622,1.9039741251134057,6.340995734071431,10.501907093119534,2.8700490425981853,13.700293047197205
13,1075,20181231,2018,PNW,723484101,PINNACLE WEST CAPITAL CORP,17664.202,511.047,3691.247,764622,3.5326940596236645,3.7905687275024746,4.6249815745942335,2.8931224858049065,13.844833466847383
14,1075,20191231,2019,PNW,723484101,PINNACLE WEST CAPITAL CORP,18479.247,538.32,3471.209,764622,-5.961074942966427,4.614105975463811,5.336691145824157,2.913105712586666,15.508141399725572
15,1380,20051231,2005,HES,42809H107,HESS CORP,19115.0,1242.0,22747.0,4447,0.0,0.0,0.0,6.497515040544076,5.460060667340748
16,1380,20061231,2006,HES,42809H107,HESS CORP,22404.0,1916.0,28067.0,4447,23.387699476854085,17.206382422181534,54.267310789049915,8.552044277807534,6.826522250329568
17,1380,20071231,2007,HES,42809H107,HESS CORP,26131.0,1832.0,31711.0,4447,12.98321872661845,16.6354222460275,-4.384133611691022,7.010830048601278,5.777175112736905
18,1380,20081231,2008,HES,42809H107,HESS CORP,28589.0,2360.0,41165.0,4447,29.812998644003663,9.406452106693198,28.82096069868996,8.254923222218336,5.733025628567958
19,1380,20091231,2009,HES,42809H107,HESS CORP,29465.0,740.0,29614.0,4447,-28.060245354062918,3.0641155689251187,-68.64406779661016,2.511454267775327,2.4988181265617615
20,1380,20101231,2010,HES,42809H107,HESS CORP,35396.0,2125.0,33862.0,4447,14.34456675896536,20.12896657050738,187.16216216216216,6.003503220702904,6.275471029472565
21,1380,20111231,2011,HES,42809H107,HESS CORP,39136.0,1703.0,38466.0,4447,13.596361703384318,10.566165668437112,-19.85882352941176,4.351492232215862,4.427286434773566
22,1380,20121231,2012,HES,42809H107,HESS CORP,43441.0,2025.0,37691.0,4447,-2.014766287110692,11.000102207686012,18.907809747504412,4.661494901130268,5.372635377145738
23,1380,20131231,2013,HES,42809H107,HESS CORP,42754.0,5052.0,22284.0,4447,-40.8771324719429,-1.581455307198265,149.48148148148147,11.81643822800206,22.670974690360797
24,1380,20141231,2014,HES,42809H107,HESS CORP,38578.0,2317.0,10737.0,4447,-51.81744749596122,-9.76750713383543,-54.13697545526524,6.006013790243143,21.579584613951756
25,1380,20151231,2015,HES,42809H107,HESS CORP,34195.0,-3056.0,6636.0,4447,-38.195026543727295,-11.361397687801333,-231.89469141130772,-8.936979090510308,-46.05183845690175
26,1380,20161231,2016,HES,42809H107,HESS CORP,28621.0,-6132.0,4762.0,4447,-28.23990355635925,-16.30062874689282,100.6544502617801,-21.424827923552638,-128.7694246115078
27,1380,20171231,2017,HES,42809H107,HESS CORP,23112.0,-4074.0,5466.0,4447,14.783704325913472,-19.248104538625487,-33.56164383561644,-17.627206645898237,-74.53347969264544
28,1380,20181231,2018,HES,42809H107,HESS CORP,21433.0,-282.0,6323.0,4447,15.678741309915845,-7.264624437521638,-93.0780559646539,-1.315728082862875,-4.459908271390163
