,,,ETR,ETR,ETR,ETR,ETR,ETR,
Year,Day,Date,Open,High,Low,Close,Adj Close,Volume,Return
2016,7,7/1/16,81.43000031,82.08999634,79.29000092,81.38999939,67.05435944,20197800,20%
2017,7,7/1/17,77.05999756,77.19000244,74.83000183,76.72000122,66.21620178,18270000,-1%
2018,7,7/1/18,81.08999634,82.77999878,77.58999634,81.27999878,73.39083862,34494100,11%
2019,7,7/1/19,102.8099976,107.3499985,101.1299973,105.6200027,99.35945892,32973400,35%
2020,7,7/1/20,93.76999664,105.4100037,93.73999786,105.1299973,102.2440186,24913400,3%
2011,8,8/1/11,67.23999786,67.37999725,57.59999847,65.20999908,42.23465729,47102500,
2012,8,8/1/12,72.80000305,73.98000336,67.73999786,68.08000183,46.40351105,29865000,10%
2013,8,8/1/13,67.76000214,70.05000305,61.88000107,63.22999954,45.25608444,35098100,-2%
2014,8,8/1/14,72.87999725,77.44999695,70.69999695,77.41000366,58.22161102,32061000,29%
2015,8,8/1/15,71.25,71.55999756,63.20000076,65.33000183,51.28598022,38592400,-12%
2016,8,8/1/16,81.29000092,82,76.59999847,78.19999695,64.4262085,24147500,26%
2017,8,8/1/17,76.84999847,80.22000122,75.73000336,79.16999817,68.33076477,24274400,6%
2018,8,8/1/18,81.02999878,85.62000275,80.69999695,83.58999634,75.47662354,35605800,10%
2019,8,8/1/19,105.1600037,113.4599991,103.9199982,112.8399963,106.1514969,24307100,41%
2020,8,8/1/20,105.1299973,106.5500031,95.55999756,99.13999939,96.41845703,19960800,-9%
2011,9,9/1/11,65.40000153,67.90000153,61.61999893,66.29000092,43.54080582,32419800,
2012,9,9/1/12,68.16999817,69.94000244,67.06999969,69.30000305,47.78431702,17767600,10%
2013,9,9/1/13,63.47999954,65.83000183,61.65999985,63.18999863,45.79026413,23167600,-4%
2014,9,9/1/14,77.33000183,78.37000275,75.29000092,77.33000183,58.83452606,25916400,28%
2015,9,9/1/15,64.45999908,65.45999908,61.27000046,65.09999847,51.72846603,29958400,-12%
2016,9,9/1/16,78.15000153,81.83000183,75.98999786,76.73000336,63.89616013,26733500,24%
2017,9,9/1/17,79.37000275,80.48999786,75.98000336,76.36000061,66.6627121,20478300,4%
2018,9,9/1/18,83.55000305,85.80999756,78.98999786,81.12999725,74.04692841,23703300,11%
2019,9,9/1/19,113.0899963,118.3399963,111.0999985,117.3600006,111.3546066,28441100,50%
2020,9,9/1/20,98.94999695,101.5,93.29000092,98.52999878,96.70598602,24333600,-13%
2011,10,10/1/11,66.05999756,70.16000366,62.65999985,69.16999817,45.43246841,28056000,
2012,10,10/1/12,69.58999634,72.98000336,69.01999664,72.58000183,50.04597473,15056300,10%
2013,10,10/1/13,63.38999939,68.62999725,63.02999878,64.72000122,46.89896393,28762000,-6%
2014,10,10/1/14,77.33000183,84.58000183,76.51000214,84.01999664,63.92441177,38820400,36%
2015,10,10/1/15,65.16000366,70.66999817,63.90000153,68.16000366,54.15995026,26956900,-15%
2016,10,10/1/16,76.55999756,76.55999756,70.90000153,73.68000031,61.35629272,33453500,13%
2017,10,10/1/17,76.63999939,87,75.01000214,86.26000214,75.30548859,32451500,23%
2018,10,10/1/18,80.94999695,86,79.56999969,83.94999695,76.62071228,35792900,2%
2019,10,10/1/19,117.0400009,121.75,114.8399963,121.4800034,115.2637863,31429900,50%
2020,10,10/1/20,98.81999969,109.4599991,98.66999817,101.2200012,99.34619141,28356300,-14%
2011,11,11/1/11,68.19999695,70.37999725,66.19999695,70.36000061,46.21409225,39514400,
2012,11,11/1/12,72.79000092,72.84999847,61.54999924,63.54000092,43.81263351,29895400,-5%
2013,11,11/1/13,64.91999817,65.48999786,61.59999847,61.88999939,44.84822464,24561200,2%
2014,11,11/1/14,84.30000305,84.44000244,80.04000092,83.90000153,63.83314896,35866000,42%
2015,11,11/1/15,67.75,69.93000031,64.11000061,66.62999725,52.94420624,28371100,-17%
2016,11,11/1/16,73.54000092,73.70999908,66.70999908,68.73000336,57.23423767,33901800,8%
2017,11,11/1/17,86.31999969,87.94999695,84.84999847,86.48000336,75.49753571,24886300,32%
2018,11,11/1/18,84.30999756,87.84999847,82.08000183,87.05999756,79.45921326,28346600,5%
2019,11,11/1/19,121.5999985,122.0899963,113.6200027,116.3899994,110.4342422,29887700,39%
2020,11,11/1/20,102.7799988,113.3600006,101.3099976,108.8499985,106.834938,23706800,-3%
2011,12,12/1/11,70.31999969,74,69.54000092,73.05000305,48.56154633,27049800,
2012,12,12/1/12,63.54999924,65.59999847,62.22000122,63.75,44.50141144,18625600,-8%
2013,12,12/1/13,62.06000137,63.54999924,60.22000122,63.27000046,46.44152451,30862100,4%
2014,12,12/1/14,83.20999908,92.01999664,82.18000031,87.48000336,67.23181915,39884700,45%
2015,12,12/1/15,66.76999664,69.48999786,64.18000031,68.36000061,55.03137589,31996200,-18%
2016,12,12/1/16,68.33000183,73.79000092,67.83999634,73.47000122,61.93493271,29997100,13%
2017,12,12/1/17,86.81999969,87.08999634,79.66000366,81.38999939,71.78960419,29423900,16%
2018,12,12/1/18,86.76999664,90.79000092,82.05999756,86.06999969,79.40151978,33096500,11%
2019,12,12/1/19,115.9499969,120.3499985,115.0500031,119.8000031,114.5838242,32396700,44%
2020,12,12/1/20,109.6800003,111.0800018,94.69999695,99.83999634,98.85210419,28902100,-14%
,,,,,,,,,
