Date,Annual Return,Ticker,Year
2011-12-31,,AEE,2011
2012-12-31,0.1982695130699732,AEE,2012
2013-12-31,0.12015675225008993,AEE,2013
2014-12-31,0.35283453310880986,AEE,2014
2015-12-31,0.025943361957485145,AEE,2015
2016-12-31,0.10539066842510825,AEE,2016
2017-12-31,0.12585481627745732,AEE,2017
2018-12-31,0.17516984423434767,AEE,2018
2019-12-31,0.407672768922019,AEE,2019
2020-12-31,-0.08590131154507108,AEE,2020
2021-12-31,0.0,AEE,2021
2011-12-31,,AEP,2011
2012-12-31,0.1982695130699732,AEP,2012
2013-12-31,0.12015675225008993,AEP,2013
2014-12-31,0.35283453310880986,AEP,2014
2015-12-31,0.025943361957485145,AEP,2015
2016-12-31,0.10539066842510825,AEP,2016
2017-12-31,0.12585481627745732,AEP,2017
2018-12-31,0.17516984423434767,AEP,2018
2019-12-31,0.407672768922019,AEP,2019
2020-12-31,-0.08590131154507108,AEP,2020
2021-12-31,0.0,AEP,2021
2011-12-31,,AES,2011
2012-12-31,0.1982695130699732,AES,2012
2013-12-31,0.12015675225008993,AES,2013
2014-12-31,0.35283453310880986,AES,2014
2015-12-31,0.025943361957485145,AES,2015
2016-12-31,0.10539066842510825,AES,2016
2017-12-31,0.12585481627745732,AES,2017
2018-12-31,0.17516984423434767,AES,2018
2019-12-31,0.407672768922019,AES,2019
2020-12-31,-0.08590131154507108,AES,2020
2021-12-31,0.0,AES,2021
2011-12-31,,APA,2011
2012-12-31,0.1982695130699732,APA,2012
2013-12-31,0.12015675225008993,APA,2013
2014-12-31,0.35283453310880986,APA,2014
2015-12-31,0.025943361957485145,APA,2015
2016-12-31,0.10539066842510825,APA,2016
2017-12-31,0.12585481627745732,APA,2017
2018-12-31,0.17516984423434767,APA,2018
2019-12-31,0.407672768922019,APA,2019
2020-12-31,-0.08590131154507108,APA,2020
2021-12-31,0.0,APA,2021
2011-12-31,,ATO,2011
2012-12-31,0.1982695130699732,ATO,2012
2013-12-31,0.12015675225008993,ATO,2013
2014-12-31,0.35283453310880986,ATO,2014
2015-12-31,0.025943361957485145,ATO,2015
2016-12-31,0.10539066842510825,ATO,2016
2017-12-31,0.12585481627745732,ATO,2017
2018-12-31,0.17516984423434767,ATO,2018
2019-12-31,0.407672768922019,ATO,2019
2020-12-31,-0.08590131154507108,ATO,2020
2021-12-31,0.0,ATO,2021
2011-12-31,,AWK,2011
2012-12-31,0.1982695130699732,AWK,2012
2013-12-31,0.12015675225008993,AWK,2013
2014-12-31,0.35283453310880986,AWK,2014
2015-12-31,0.025943361957485145,AWK,2015
2016-12-31,0.10539066842510825,AWK,2016
2017-12-31,0.12585481627745732,AWK,2017
2018-12-31,0.17516984423434767,AWK,2018
2019-12-31,0.407672768922019,AWK,2019
2020-12-31,-0.08590131154507108,AWK,2020
2021-12-31,0.0,AWK,2021
2011-12-31,,BKR,2011
2012-12-31,0.1982695130699732,BKR,2012
2013-12-31,0.12015675225008993,BKR,2013
2014-12-31,0.35283453310880986,BKR,2014
2015-12-31,0.025943361957485145,BKR,2015
2016-12-31,0.10539066842510825,BKR,2016
2017-12-31,0.12585481627745732,BKR,2017
2018-12-31,0.17516984423434767,BKR,2018
2019-12-31,0.407672768922019,BKR,2019
2020-12-31,-0.08590131154507108,BKR,2020
2021-12-31,0.0,BKR,2021
2011-12-31,,CMS,2011
2012-12-31,0.1982695130699732,CMS,2012
2013-12-31,0.12015675225008993,CMS,2013
2014-12-31,0.35283453310880986,CMS,2014
2015-12-31,0.025943361957485145,CMS,2015
2016-12-31,0.10539066842510825,CMS,2016
2017-12-31,0.12585481627745732,CMS,2017
2018-12-31,0.17516984423434767,CMS,2018
2019-12-31,0.407672768922019,CMS,2019
2020-12-31,-0.08590131154507108,CMS,2020
2021-12-31,0.0,CMS,2021
2011-12-31,,CNP,2011
2012-12-31,0.1982695130699732,CNP,2012
2013-12-31,0.12015675225008993,CNP,2013
2014-12-31,0.35283453310880986,CNP,2014
2015-12-31,0.025943361957485145,CNP,2015
2016-12-31,0.10539066842510825,CNP,2016
2017-12-31,0.12585481627745732,CNP,2017
2018-12-31,0.17516984423434767,CNP,2018
2019-12-31,0.407672768922019,CNP,2019
2020-12-31,-0.08590131154507108,CNP,2020
2021-12-31,0.0,CNP,2021
2011-12-31,,COG,2011
2012-12-31,0.1982695130699732,COG,2012
2013-12-31,0.12015675225008993,COG,2013
2014-12-31,0.35283453310880986,COG,2014
2015-12-31,0.025943361957485145,COG,2015
2016-12-31,0.10539066842510825,COG,2016
2017-12-31,0.12585481627745732,COG,2017
2018-12-31,0.17516984423434767,COG,2018
2019-12-31,0.407672768922019,COG,2019
2020-12-31,-0.08590131154507108,COG,2020
2021-12-31,0.0,COG,2021
2011-12-31,,COP,2011
2012-12-31,0.1982695130699732,COP,2012
2013-12-31,0.12015675225008993,COP,2013
2014-12-31,0.35283453310880986,COP,2014
2015-12-31,0.025943361957485145,COP,2015
2016-12-31,0.10539066842510825,COP,2016
2017-12-31,0.12585481627745732,COP,2017
2018-12-31,0.17516984423434767,COP,2018
2019-12-31,0.407672768922019,COP,2019
2020-12-31,-0.08590131154507108,COP,2020
2021-12-31,0.0,COP,2021
2011-12-31,,CVX,2011
2012-12-31,0.1982695130699732,CVX,2012
2013-12-31,0.12015675225008993,CVX,2013
2014-12-31,0.35283453310880986,CVX,2014
2015-12-31,0.025943361957485145,CVX,2015
2016-12-31,0.10539066842510825,CVX,2016
2017-12-31,0.12585481627745732,CVX,2017
2018-12-31,0.17516984423434767,CVX,2018
2019-12-31,0.407672768922019,CVX,2019
2020-12-31,-0.08590131154507108,CVX,2020
2021-12-31,0.0,CVX,2021
2011-12-31,,D,2011
