,gvkey,datadate,fyear,tic,cusip,conm,at,ni,sale,cik,Change_in_Sales,Change_in_Assets,Change_in_NI,ROA,Profit_Margin
678,24216,20161231,2016,AES,00130H105,AES CORP (THE),36119,-1130,13586,874761,-8.610251581,-1.983717775,-469.2810458,-3.128547302,-8.317385544
679,24216,20171231,2017,AES,00130H105,AES CORP (THE),33112,-1161,10530,874761,-22.49374356,-8.325258174,2.743362832,-3.506281711,-11.02564103
680,24216,20181231,2018,AES,00130H105,AES CORP (THE),32521,1203,10736,874761,1.95631529,-1.784851413,-203.6175711,3.699148243,11.20529061
681,24216,20191231,2019,AES,00130H105,AES CORP (THE),33648,303,10189,874761,-5.095007452,3.465453092,-74.81296758,0.900499287,2.973795269
45,1678,20051231,2005,APA,37411105,APACHE CORP,19271.796,2623.73,7457.291,6769,0,0,0,13.61435125,35.18341982
46,1678,20061231,2006,APA,37411105,APACHE CORP,24308.175,2552.451,8074.253,6769,8.273272426,26.13341798,-2.716704844,10.50038104,31.61222469
47,1678,20071231,2007,APA,37411105,APACHE CORP,28634.651,2812.358,9961.982,6769,23.37961171,17.79844024,10.18264405,9.821520088,28.23090827
48,1678,20081231,2008,APA,37411105,APACHE CORP,29186.485,711.954,12327.839,6769,23.74885841,1.927154621,-74.68480186,2.439327655,5.775172761
49,1678,20091231,2009,APA,37411105,APACHE CORP,28185.743,-284.398,8573.927,6769,-30.4506897,-3.428785618,-139.9461201,-1.00901367,-3.317009814
50,1678,20101231,2010,APA,37411105,APACHE CORP,43425,3032,12183,6769,42.09358209,54.06725308,-1166.111576,6.982153138,24.88713781
51,1678,20111231,2011,APA,37411105,APACHE CORP,52051,4584,16810,6769,37.97915128,19.86413356,51.18733509,8.806747229,27.26948245
52,1678,20121231,2012,APA,37411105,APACHE CORP,60737,2001,16947,6769,0.814991077,16.68747959,-56.34816754,3.294532163,11.80739954
53,1678,20131231,2013,APA,37411105,APACHE CORP,61637,2232,16402,6769,-3.21590842,1.481798574,11.54422789,3.621201551,13.60809657
