,Year,Ticker,Environmental Disclosure Score,GHG Scope 1,Total Energy Consumption,Change_in_EDS,Change_in_GHG,Change_in_TEC
65,2010,ATO,1.4,,,0.0,0.0,0.0
66,2011,ATO,1.4,,,0.0,0.0,0.0
67,2012,ATO,1.4,,,0.0,0.0,0.0
68,2013,ATO,1.4,,,0.0,0.0,0.0
69,2014,ATO,1.4,,,0.0,0.0,0.0
70,2015,ATO,4.8,,,242.8571428571429,0.0,0.0
71,2016,ATO,4.8,,,0.0,0.0,0.0
72,2017,ATO,4.8,,,0.0,0.0,0.0
73,2018,ATO,4.8,,,0.0,0.0,0.0
74,2019,ATO,9.0,,,87.5,0.0,0.0
75,2005,AWK,,,,0.0,0.0,0.0
76,2006,AWK,,,,0.0,0.0,0.0
77,2007,AWK,,,,0.0,0.0,0.0
78,2008,AWK,14.5,65.9,,0.0,0.0,0.0
79,2009,AWK,17.9,64.5,,23.448275862068947,-2.124430955993939,0.0
80,2010,AWK,13.8,,,-22.905027932960888,0.0,0.0
81,2011,AWK,14.5,,,5.072463768115942,0.0,0.0
82,2012,AWK,25.5,62.8,1348.4,75.86206896551724,0.0,0.0
