fyear,Ticker,CompanyName,conml
2018,ATO,ATMOS ENERGY CORP,Atmos Energy Corp
2019,ATO,ATMOS ENERGY CORP,Atmos Energy Corp
2010,XOM,EXXON MOBIL CORP,Exxon Mobil Corp
2011,XOM,EXXON MOBIL CORP,Exxon Mobil Corp
2012,XOM,EXXON MOBIL CORP,Exxon Mobil Corp
2013,XOM,EXXON MOBIL CORP,Exxon Mobil Corp
2014,XOM,EXXON MOBIL CORP,Exxon Mobil Corp
2015,XOM,EXXON MOBIL CORP,Exxon Mobil Corp
2016,XOM,EXXON MOBIL CORP,Exxon Mobil Corp
2017,XOM,EXXON MOBIL CORP,Exxon Mobil Corp
2018,XOM,EXXON MOBIL CORP,Exxon Mobil Corp
2019,XOM,EXXON MOBIL CORP,Exxon Mobil Corp
2010,NEE,NEXTERA ENERGY INC,NextEra Energy Inc
2011,NEE,NEXTERA ENERGY INC,NextEra Energy Inc
2012,NEE,NEXTERA ENERGY INC,NextEra Energy Inc
2013,NEE,NEXTERA ENERGY INC,NextEra Energy Inc
2014,NEE,NEXTERA ENERGY INC,NextEra Energy Inc
2015,NEE,NEXTERA ENERGY INC,NextEra Energy Inc
2016,NEE,NEXTERA ENERGY INC,NextEra Energy Inc
2017,NEE,NEXTERA ENERGY INC,NextEra Energy Inc
2018,NEE,NEXTERA ENERGY INC,NextEra Energy Inc
2019,NEE,NEXTERA ENERGY INC,NextEra Energy Inc
2010,HAL,HALLIBURTON CO,Halliburton Co
2011,HAL,HALLIBURTON CO,Halliburton Co
2012,HAL,HALLIBURTON CO,Halliburton Co
2013,HAL,HALLIBURTON CO,Halliburton Co
2014,HAL,HALLIBURTON CO,Halliburton Co
2015,HAL,HALLIBURTON CO,Halliburton Co
2016,HAL,HALLIBURTON CO,Halliburton Co
2017,HAL,HALLIBURTON CO,Halliburton Co
2018,HAL,HALLIBURTON CO,Halliburton Co
2019,HAL,HALLIBURTON CO,Halliburton Co
2010,HFC,HOLLYFRONTIER CORP,HollyFrontier Corp
2011,HFC,HOLLYFRONTIER CORP,HollyFrontier Corp
2012,HFC,HOLLYFRONTIER CORP,HollyFrontier Corp
2013,HFC,HOLLYFRONTIER CORP,HollyFrontier Corp
2014,HFC,HOLLYFRONTIER CORP,HollyFrontier Corp
2015,HFC,HOLLYFRONTIER CORP,HollyFrontier Corp
2016,HFC,HOLLYFRONTIER CORP,HollyFrontier Corp
2017,HFC,HOLLYFRONTIER CORP,HollyFrontier Corp
2018,HFC,HOLLYFRONTIER CORP,HollyFrontier Corp
2019,HFC,HOLLYFRONTIER CORP,HollyFrontier Corp
2010,CNP,CENTERPOINT ENERGY INC,CenterPoint Energy Inc.
2011,CNP,CENTERPOINT ENERGY INC,CenterPoint Energy Inc.
2012,CNP,CENTERPOINT ENERGY INC,CenterPoint Energy Inc.
2013,CNP,CENTERPOINT ENERGY INC,CenterPoint Energy Inc.
2014,CNP,CENTERPOINT ENERGY INC,CenterPoint Energy Inc.
2015,CNP,CENTERPOINT ENERGY INC,CenterPoint Energy Inc.
2016,CNP,CENTERPOINT ENERGY INC,CenterPoint Energy Inc.
2017,CNP,CENTERPOINT ENERGY INC,CenterPoint Energy Inc.
2018,CNP,CENTERPOINT ENERGY INC,CenterPoint Energy Inc.
2019,CNP,CENTERPOINT ENERGY INC,CenterPoint Energy Inc.
2010,KMI,KINDER MORGAN INC,Kinder Morgan Inc.
2011,KMI,KINDER MORGAN INC,Kinder Morgan Inc.
2012,KMI,KINDER MORGAN INC,Kinder Morgan Inc.
2013,KMI,KINDER MORGAN INC,Kinder Morgan Inc.
2014,KMI,KINDER MORGAN INC,Kinder Morgan Inc.
2015,KMI,KINDER MORGAN INC,Kinder Morgan Inc.
2016,KMI,KINDER MORGAN INC,Kinder Morgan Inc.
2017,KMI,KINDER MORGAN INC,Kinder Morgan Inc.
2018,KMI,KINDER MORGAN INC,Kinder Morgan Inc.
2019,KMI,KINDER MORGAN INC,Kinder Morgan Inc.
2010,EVRG,EVERGY INC,Evergy Inc
2011,EVRG,EVERGY INC,Evergy Inc
2012,EVRG,EVERGY INC,Evergy Inc
2013,EVRG,EVERGY INC,Evergy Inc
2014,EVRG,EVERGY INC,Evergy Inc
2015,EVRG,EVERGY INC,Evergy Inc
2016,EVRG,EVERGY INC,Evergy Inc
2017,EVRG,EVERGY INC,Evergy Inc
2018,EVRG,EVERGY INC,Evergy Inc
2019,EVRG,EVERGY INC,Evergy Inc
2010,MRO,MARATHON OIL CORP,Marathon Oil Corp
2011,MRO,MARATHON OIL CORP,Marathon Oil Corp
2012,MRO,MARATHON OIL CORP,Marathon Oil Corp
2013,MRO,MARATHON OIL CORP,Marathon Oil Corp
2014,MRO,MARATHON OIL CORP,Marathon Oil Corp
2015,MRO,MARATHON OIL CORP,Marathon Oil Corp
2016,MRO,MARATHON OIL CORP,Marathon Oil Corp
2017,MRO,MARATHON OIL CORP,Marathon Oil Corp
2018,MRO,MARATHON OIL CORP,Marathon Oil Corp
2019,MRO,MARATHON OIL CORP,Marathon Oil Corp
2010,ETR,ENTERGY CORP,Entergy Corp.
2011,ETR,ENTERGY CORP,Entergy Corp.
2012,ETR,ENTERGY CORP,Entergy Corp.
2013,ETR,ENTERGY CORP,Entergy Corp.
2014,ETR,ENTERGY CORP,Entergy Corp.
2015,ETR,ENTERGY CORP,Entergy Corp.
2016,ETR,ENTERGY CORP,Entergy Corp.
2017,ETR,ENTERGY CORP,Entergy Corp.
2018,ETR,ENTERGY CORP,Entergy Corp.
2019,ETR,ENTERGY CORP,Entergy Corp.
2010,ES,EVERSOURCE ENERGY,Eversource Energy
2011,ES,EVERSOURCE ENERGY,Eversource Energy
2012,ES,EVERSOURCE ENERGY,Eversource Energy
2013,ES,EVERSOURCE ENERGY,Eversource Energy
2014,ES,EVERSOURCE ENERGY,Eversource Energy
2015,ES,EVERSOURCE ENERGY,Eversource Energy
2016,ES,EVERSOURCE ENERGY,Eversource Energy
2017,ES,EVERSOURCE ENERGY,Eversource Energy
2018,ES,EVERSOURCE ENERGY,Eversource Energy
2019,ES,EVERSOURCE ENERGY,Eversource Energy
2010,NI,NISOURCE INC,NiSource Inc
2011,NI,NISOURCE INC,NiSource Inc
2012,NI,NISOURCE INC,NiSource Inc
2013,NI,NISOURCE INC,NiSource Inc
2014,NI,NISOURCE INC,NiSource Inc
2015,NI,NISOURCE INC,NiSource Inc
2016,NI,NISOURCE INC,NiSource Inc
2017,NI,NISOURCE INC,NiSource Inc
2018,NI,NISOURCE INC,NiSource Inc
2019,NI,NISOURCE INC,NiSource Inc
2010,XEL,XCEL ENERGY INC,Xcel Energy Inc.
2011,XEL,XCEL ENERGY INC,Xcel Energy Inc.
2012,XEL,XCEL ENERGY INC,Xcel Energy Inc.
2013,XEL,XCEL ENERGY INC,Xcel Energy Inc.
2014,XEL,XCEL ENERGY INC,Xcel Energy Inc.
2015,XEL,XCEL ENERGY INC,Xcel Energy Inc.
2016,XEL,XCEL ENERGY INC,Xcel Energy Inc.
2017,XEL,XCEL ENERGY INC,Xcel Energy Inc.
2018,XEL,XCEL ENERGY INC,Xcel Energy Inc.
2019,XEL,XCEL ENERGY INC,Xcel Energy Inc.
