Ticker,Year,Annual_Stock_Return
AEE,2012,
AEE,2013,7.828929982262722
AEE,2014,22.20736661006153
AEE,2015,24.51860552868048
AEE,2016,3.3930838725115597
AEE,2017,21.38901746559354
AEE,2018,10.888388959084505
AEE,2019,26.225482766836762
AEP,2012,
AEP,2013,19.905585570070183
AEP,2014,12.364485838096817
AEP,2015,33.771393736343484
AEP,2016,0.7709162119043933
AEP,2017,8.837232337686562
AEP,2018,11.134278877882519
AEP,2019,19.329519685472363
AES,2012,
AES,2013,-14.720614208750849
AES,2014,31.369305973620154
AES,2015,-11.845057081175703
AES,2016,-19.690050482983434
AES,2017,25.34507506358432
AES,2018,5.504178341771815
AES,2019,47.625137508514314
APA,2012,
APA,2013,-14.668831771651803
APA,2014,-3.2595504790676744
APA,2015,-21.156988481740445
APA,2016,-30.772996825470887
APA,2017,43.51366421159333
APA,2018,-23.465803620782346
APA,2019,-25.162187546678872
ATO,2012,
ATO,2013,20.131045036487215
ATO,2014,32.91454495517683
ATO,2015,22.19110559184452
ATO,2016,25.102059968663724
ATO,2017,12.70025020490515
ATO,2018,11.242488341347578
ATO,2019,20.43348270599139
AWK,2012,
AWK,2013,17.46476936003276
AWK,2014,13.435813745111425
AWK,2015,35.33807143516181
AWK,2016,18.490352022559755
AWK,2017,15.447781302515807
AWK,2018,15.554213293334573
AWK,2019,17.47072601816766
BKR,2012,
BKR,2013,-7.767528452976169
BKR,2014,28.242789709883187
BKR,2015,3.4616720159331926
BKR,2016,-24.09251937108281
BKR,2017,47.070204575031724
BKR,2018,-25.636032868091043
BKR,2019,-24.937220722830656
CMS,2012,
CMS,2013,22.671430091879596
CMS,2014,12.165363166922273
CMS,2015,40.77328505961657
CMS,2016,6.503197204848177
CMS,2017,12.891276053710744
CMS,2018,8.1746235475197
CMS,2019,20.15999989461681
CNP,2012,
CNP,2013,15.290821510587138
CNP,2014,18.620326575405176
CNP,2015,2.6526211241044484
CNP,2016,-18.59252739813886
CNP,2017,53.971326007784846
CNP,2018,11.708702508390957
CNP,2019,14.314863501114306
COG,2012,
COG,2013,65.78732068028455
COG,2014,51.76442987817038
COG,2015,-33.564910499459934
COG,2016,-21.46507959431648
COG,2017,3.894983285783482
COG,2018,23.503219945362595
COG,2019,-4.367040643871112
COP,2012,
COP,2013,16.679216958534848
COP,2014,16.80484514302396
COP,2015,0.6983446776138047
COP,2016,-34.84129797894645
COP,2017,27.956491070371015
COP,2018,23.33571901412843
COP,2019,17.164586629418444
CVX,2012,
CVX,2013,15.430312943682424
CVX,2014,0.13314931089218884
CVX,2015,-4.876742299290548
CVX,2016,-11.83897129241096
CVX,2017,34.50661711924745
CVX,2018,17.04563467571898
CVX,2019,-5.00734089285465
D,2012,
D,2013,12.634408811866283
D,2014,30.474505730000566
D,2015,17.14653955431553
D,2016,-2.6400287741132455
D,2017,9.834343867414464
D,2018,4.069853110773081
D,2019,-3.6790917885299645
DTE,2012,
DTE,2013,24.00367284143694
DTE,2014,12.046807527031579
DTE,2015,36.18105135097301
DTE,2016,-1.6497741559996948
DTE,2017,19.915659110717176
DTE,2018,10.445780258787018
DTE,2019,15.26869890625251
DUK,2012,
DUK,2013,12.696795808847238
DUK,2014,7.329180513086264
DUK,2015,28.788620755905647
DUK,2016,-9.773145191217647
DUK,2017,8.820745687695887
DUK,2018,4.18693320484298
DUK,2019,17.06612955774429
DVN,2012,
DVN,2013,-9.163444764442074
DVN,2014,5.109736826454769
DVN,2015,3.236610037854515
DVN,2016,-52.73586303625623
DVN,2017,65.70610820363689
DVN,2018,-8.546603742257563
DVN,2019,-35.02772556039111
ED,2012,
ED,2013,0.4846011288675012
ED,2014,-0.27235324471942546
ED,2015,33.07692997285932
ED,2016,4.334336322183963
ED,2017,11.124413732062234
ED,2018,11.83843983324737
ED,2019,0.24885220276735787
EIX,2012,
EIX,2013,20.924451779829887
EIX,2014,2.874773480859294
EIX,2015,45.136009204544635
EIX,2016,-6.656924129303842
EIX,2017,21.170150042656743
EIX,2018,-11.584596415447901
EIX,2019,-5.257676811924183
EOG,2012,
EOG,2013,18.534348931518664
EOG,2014,32.89851083924591
EOG,2015,8.349551579168546
EOG,2016,-19.612725706104783
EOG,2017,44.26043459913949
EOG,2018,13.995721870673217
EOG,2019,-13.185053501134048
ES,2012,
ES,2013,21.467441686020926
ES,2014,11.446861265560848
ES,2015,31.279980217059887
ES,2016,0.1405576989479851
ES,2017,6.264442464369524
ES,2018,17.61017759090393
ES,2019,13.720063099473979
ETR,2012,
ETR,2013,-2.2268955415782443
ETR,2014,2.5958589038857394
ETR,2015,45.36766958994187
ETR,2016,-15.51760501084971
ETR,2017,6.289712712219631
ETR,2018,14.928814402587953
ETR,2019,18.54495462976844
EVRG,2012,
EVRG,2013,10.746617031054218
EVRG,2014,15.200081472690519
EVRG,2015,33.837899438911954
EVRG,2016,5.961897916918835
EVRG,2017,29.267073310419644
EVRG,2018,-2.6700575030777385
EVRG,2019,14.489887903037136
EXC,2012,
EXC,2013,-16.286740126008368
EXC,2014,-3.364154584287793
EXC,2015,29.008902247937797
EXC,2016,-14.716688961037361
EXC,2017,26.011608676145915
EXC,2018,11.233731908236333
EXC,2019,28.236026996223206
FANG,2012,
FANG,2013,inf
FANG,2014,131.8465794030953
FANG,2015,32.724099241819935
FANG,2016,9.508642049854776
FANG,2017,39.20582442581604
FANG,2018,19.330607206707896
FANG,2019,-17.57999911741438
FE,2012,
FE,2013,0.6136288047101646
FE,2014,-17.836054484067944
FE,2015,33.83570889433582
FE,2016,-14.578089978660213
