count,mean,std,min,25%,50%,75%,max
780.0,2012.0,4.323266012120151,2005.0,2008.0,2012.0,2016.0,2019.0
636.0,31.469654088050316,18.26395375621857,1.4,15.9,31.75,45.5,84.3
398.0,28308.354773869345,32606.231282604174,52.5,5225.0,15042.650000000001,36650.0,145500.0
243.0,138491.04320987655,308233.41080721316,101.5,10630.4,60000.0,191643.5,3773309.0
589.0,25.2854326387285,105.81305583003768,-65.36312849162012,0.0,2.72572402044291,19.090909090909093,1887.5
377.0,-0.6600339563777575,26.811189114029688,-87.92854489790088,-8.586678292549221,-1.1455104886738843,3.6064839754577083,240.86363636363637
237.0,122.14394320518196,1228.7074389236093,-98.96568871208355,-8.361043764913322,0.0,3.1963470319634757,15750.24630541872
754.0,44006.135067639254,52446.876654391985,172.517,17640.8005,30182.1,47309.5,362597.0
754.0,1862.7692625994694,5374.043089231524,-23119.0,306.81075,827.3965000000001,1830.75,45220.0
754.0,27297.776396551726,56598.313350624674,27.253,6639.35,11485.9875,16794.0,433526.0
754.0,4.887175984277428,31.978474857988648,-78.15177387391414,-5.2954529978407585,1.88104046621268,11.113569534165311,647.0430805941838
754.0,7.19216187969861,21.08207574548722,-66.32470689162139,0.0,4.803944599719068,9.095252843262935,178.66245213056956
754.0,-10.27288481324972,926.8320926313927,-8982.5,-33.63398934685805,0.021741356294280312,24.550031349490702,19561.290322580648
754.0,3.092602595704793,7.516937121076476,-122.69928882284258,1.91749026850869,2.855310815750088,4.719351998514136,35.416167903599074
754.0,6.290279719322189,20.662635295264387,-362.1964593451355,3.8377079327132293,8.414402436320351,12.04035052778626,46.757780574432275
364.0,inf,,-62.306947831857954,-2.4454108757058473,11.360149783606477,21.50631595871466,inf
398.0,590.4902337727207,625.3255868963697,3.0410101946246524,158.32533772513827,363.47688302865333,829.6904516896968,4677.38050432819
398.0,1838.4630422492403,2011.2106413575336,15.105899627864758,282.72200322692004,654.6076478276109,3313.7979706505325,9899.855461490812
243.0,1928.3969399008747,4716.6755346826985,4.6942928498751275,312.3737619845447,1027.232793254161,2140.752073331404,66886.03892650761
243.0,5655.626267896583,16864.95158412957,15.86185341459603,742.8798759588706,1518.5573408730431,6102.36565531864,245706.12749886044
754.0,10.27249500651416,0.931817561678675,5.150495782340249,9.777969415230903,10.315002408250113,10.764466217436473,12.801047303688959
754.0,9.371350891777245,1.1767737832959952,3.3051636067927213,8.800768964486608,9.348883083566918,9.72877559549309,12.979707050336138
