,Ticker,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Annual_Stock_Return
0,AEE,2012,1,1,33.650001525878906,33.68000030517578,30.899999618530273,31.639999389648438,22.85433578491211,37740200.0,
1,AEE,2013,1,1,31.139999389648438,32.599998474121094,30.639999389648438,32.439998626708984,24.643587112426758,40006600.0,7.828936024891475
2,AEE,2014,1,1,36.04999923706055,37.939998626708984,35.220001220703125,37.84000015258789,30.116273880004883,32563200.0,22.20734644924509
3,AEE,2015,1,1,46.290000915527344,46.810001373291016,44.63999938964844,45.279998779296875,37.500370025634766,32918400.0,24.51862463149006
4,AEE,2016,1,1,43.130001068115234,44.970001220703125,41.5,44.91999816894531,38.772789001464844,42957800.0,3.3930837881340103
5,AEE,2017,1,1,52.59000015258789,53.400001525878906,51.349998474121094,52.650001525878906,47.06590270996094,23475100.0,21.38900482032071
6,AEE,2018,1,1,58.97999954223633,59.029998779296875,54.83000183105469,56.630001068115234,52.190616607666016,31432400.0,10.88837906559581
7,AEE,2019,1,1,65.06999969482422,69.62000274658203,63.130001068115234,69.33999633789062,65.87787628173828,29291500.0,26.225518232451407
8,AEP,2012,1,1,41.959999084472656,41.97999954223633,39.2400016784668,39.560001373291016,28.056011199951172,105684800.0,
9,AEP,2013,1,1,43.16999816894531,45.34000015258789,42.91999816894531,45.290000915527344,33.64072799682617,67739200.0,19.905597973544854
10,AEP,2014,1,1,46.97999954223633,48.97999954223633,45.79999923706055,48.810001373291016,37.800228118896484,54229000.0,12.36447713754214
11,AEP,2015,1,1,60.880001068115234,65.37999725341797,59.970001220703125,62.810001373291016,50.56589126586914,52880300.0,33.771391820228324
12,AEP,2016,1,1,57.81999969482422,61.08000183105469,56.75,60.970001220703125,50.95571517944336,70842400.0,0.7709226591588569
13,AEP,2017,1,1,63.0099983215332,64.11000061035156,61.81999969482422,64.05999755859375,55.45878601074219,45686700.0,8.83722427492386
14,AEP,2018,1,1,73.18000030517578,73.41999816894531,67.11000061035156,68.77999877929688,61.63372802734375,82351000.0,11.134289912883233
15,AEP,2019,1,1,74.61000061035156,79.61000061035156,72.26000213623047,79.12000274658203,73.54722595214844,57152100.0,19.329510490618507
16,AES,2012,1,1,12.029999732971191,13.149999618530273,11.850000381469727,12.760000228881836,9.78839111328125,109505500.0,
17,AES,2013,1,1,10.890000343322754,11.359999656677246,10.65999984741211,10.84000015258789,8.347479820251465,134687000.0,-14.720614208750849
18,AES,2014,1,1,14.510000228881836,14.800000190734863,13.420000076293945,14.0600004196167,10.966026306152344,120461400.0,31.369305973620154
19,AES,2015,1,1,13.859999656677246,13.869999885559082,12.170000076293945,12.220000267028809,9.667094230651855,118950800.0,-11.845057081175703
20,AES,2016,1,1,9.4399995803833,9.59000015258789,8.220000267028809,9.5,7.763638496398926,138380800.0,-19.690050482983434
21,AES,2017,1,1,11.670000076293945,12.0600004196167,11.149999618530273,11.4399995803833,9.731338500976562,124725400.0,25.34507506358432
22,AES,2018,1,1,10.869999885559082,11.949999809265137,10.640000343322754,11.5600004196167,10.266968727111816,237380100.0,5.504178341771815
23,AES,2019,1,1,14.270000457763672,16.420000076293945,13.970000267028809,16.389999389648438,15.15662670135498,114648400.0,47.625137508514314
24,APA,2012,1,1,93.94000244140625,101.23999786376953,91.4800033569336,98.87999725341797,83.90869903564453,64430800.0,
25,APA,2013,1,1,80.0,86.3499984741211,79.25,83.76000213623047,71.60027313232422,58692200.0,-14.668831771651803
26,APA,2014,1,1,85.81999969482422,87.91000366210938,79.83999633789062,80.26000213623047,69.26642608642578,53775300.0,-3.2595504790676744
27,APA,2015,1,1,62.18000030517578,65.31999969482422,57.439998626708984,62.56999969482422,54.61173629760742,87464400.0,-21.156988481740445
28,APA,2016,1,1,44.25,45.11000061035156,32.20000076293945,42.540000915527344,37.806068420410156,137924000.0,-30.772996825470887
29,APA,2017,1,1,64.70999908447266,64.91999816894531,59.099998474121094,59.81999969482422,54.256874084472656,60689600.0,43.51366421159333
30,APA,2018,1,1,42.650001525878906,48.970001220703125,42.540000915527344,44.869998931884766,41.525062561035156,87650500.0,-23.465803620782346
31,APA,2019,1,1,25.610000610351562,33.47999954223633,25.59000015258789,32.81999969482422,31.076448440551758,100299100.0,-25.162187546678872
32,ATO,2012,1,1,33.83000183105469,33.83000183105469,31.940000534057617,32.40999984741211,25.202804565429688,7322700.0,
33,ATO,2013,1,1,35.61000061035156,37.689998626708984,34.869998931884766,37.36000061035156,30.276386260986328,10141400.0,20.13102026952984
34,ATO,2014,1,1,45.34000015258789,48.380001068115234,44.15999984741211,48.0099983215332,40.24172592163086,7209600.0,32.91456111948774
35,ATO,2015,1,1,55.91999816894531,59.349998474121094,54.36000061035156,56.90999984741211,49.17181396484375,10503700.0,22.191115909401795
36,ATO,2016,1,1,63.02000045776367,69.22000122070312,60.0,69.22000122070312,61.51495361328125,12492200.0,25.10206285507881
37,ATO,2017,1,1,74.33999633789062,76.26000213623047,72.54000091552734,76.18000030517578,69.32749938964844,7972100.0,12.70023842573529
38,ATO,2018,1,1,85.93000030517578,86.12000274658203,79.11000061035156,82.9000015258789,77.12163543701172,14734000.0,11.242488357407932
39,ATO,2019,1,1,92.29000091552734,97.9000015258789,89.19000244140625,97.62999725341797,92.88027954101562,13074800.0,20.433493162725537
40,AWK,2012,1,1,32.04999923706055,33.939998626708984,31.25,33.72999954223633,27.53804588317871,18453100.0,
41,AWK,2013,1,1,37.66999816894531,38.900001525878906,36.959999084472656,38.279998779296875,32.34748458862305,22769700.0,17.464705832239623
