ISIN,CompanyName,Country
US88076W1036,TERADATA CORPORATION,United States
GB0009376368,SDL PLC,United Kingdom
GB00BYZFZ918,SOPHOS GROUP PLC,United Kingdom
TW0005209001,CTCI Advanced Systems Inc.,Taiwan
AU000000LNK2,LINK ADMINISTRATION HOLDINGS LTD,Australia
US9285634021,"VMWARE, INCORPORATION.",United States
AU000000IRE2,IRESS LIMITED,Australia
GB00B01QGK86,NCC GROUP PLC,United Kingdom
TW0008201005,"Inventec Besta Co.,Ltd",Taiwan
ES0118594417,INDRA SISTEMAS,Spain
NO0004822503,ATEA ASA,Norway
ZAE000111829,Aveng Limited,South Africa
TRATRKCM91F7,TRAKYA CAM SANAYII A.S.,Turkey
JP3112000009,AGC INC,Japan
JP3686800008,NIPPON SHEET GLASS CO LTD,Japan
US6907421019,OWENS-CORNING,United States
NL0000852580,KONINKLIJKE BOSKALIS WESTMINSTER NV,Netherlands
KR7002380004,KCC CORPORATION,South Korea
AU000000CIM7,CIMIC GROUP LIMITED,Australia
KYG216771363,CHINA STATE CONSTRUCTION INTERNATIONAL HOLDINGS LIMITED,Hong Kong
FR0000121634,COLAS S.A.,France
MX01AG050009,ROTOPLAS SA DE CV,Mexico
JP3425000001,CENTRAL GLASS COMPANY LIMITED,Japan
CNE1000023C8,CHINA ENERGY ENGINEERING CORP LTD,China
FR0004188670,TARKETT SA,France
JP3100800006,AICA KOGYO COMPANY LIMITED,Japan
JP3419400001,SEKISUI CHEMICAL CO LTD,Japan
GB00BKRC5K31,POLYPIPE GROUP PLC,United Kingdom
JP3626800001,LIXIL GROUP CORPORATION,Japan
GB0004866223,KELLER GROUP PLC,United Kingdom
JP3596200000,TOTO LTD,Japan
IT0004931058,Maire Tecnimont S.p.A.,Italy
JP3481800005,DAIKIN INDUSTRIES LIMITED,Japan
AT000000STR1,STRABAG SE,Austria
INE018A01030,LARSEN & TOUBRO LIMITED,India
FI0009800643,YIT OYJ,Finland
BE0003883031,Compagnie d'Entreprises CFE SA,Belgium
JP3420200002,SEKISUI JUSHI CORPORATION,Japan
US5261071071,LENNOX INTERNATIONAL INCORPORATED,United States
KR7000720003,HYUNDAI ENGINEERING & CONSTRUCTION COMPANY LIMITED,South Korea
ES0142090317,OBRASCON HUARTE LAIN SA,Spain
NO0005806802,VEIDEKKE ASA,Norway
JP3409800004,SUMITOMO FORESTRY CO LTD,Japan
CNE100001NV2,SINOPEC ENGINEERING GROUP CO LTD,China
ES0129743318,"ELECNOR, S.A.",Spain
AU000000MND5,MONADELPHOUS GROUP LIMITED,Australia
GB0006452857,nmcn plc,United Kingdom
NO0003078107,AF GRUPPEN ASA,Norway
GB00BYNVD082,MCCARTHY & STONE PLC,United Kingdom
JP3659200004,NISHIMATSU CONSTRUCTION CO LTD,Japan
JP3627000007,TODA CORPORATION,Japan
JP3358800005,SHIMIZU CORPORATION,Japan
AU000000SSM2,Service Stream Limited,Australia
GB00BRKD9Z53,MJ GLEESON PLC,United Kingdom
BRMRVEACNOR2,MRV ENGENHARIA E PARTICIPACOES S.A.,Brazil
US00766T1007,AECOM,United States
JP3420600003,"SEKISUI HOUSE, LIMITED",Japan
GB0000904986,BELLWAY P.L.C.,United Kingdom
JP3344400001,SANWA HOLDINGS CORP,Japan
US48666K1097,KB HOME,United States
GB0001110096,HENRY BOOT PLC,United Kingdom
GB00B8VZXT93,CREST NICHOLSON HOLDINGS PLC,United Kingdom
GB00BG11K365,REDROW PLC,United Kingdom
AU000000GWA4,GWA GROUP LIMITED,Australia
GB0008085614,MORGAN SINDALL GROUP PLC,United Kingdom
US3434121022,FLUOR CORPORATION,United States
GB00BYPHNG03,COUNTRYSIDE PROPERTIES PLC,United Kingdom
GB0001859296,BOVIS HOMES GROUP PLC,United Kingdom
SE0000806994,JM AB,Sweden
CNE1000003K3,Jiangxi Copper Company Limited,China
GB00B0HZPV38,KAZ MINERALS PLC,United Kingdom
AU000000CGC2,COSTA GROUP HOLDINGS LTD,Australia
KYG2163M1033,China Education Group Holdings Limited,Hong Kong
KYG211511160,China Maple Leaf Educational Systems Limited,China
GB0004697420,JKX Oil & Gas plc,United Kingdom
RU0007661625,GAZPROM PAO,Russia
CA07317Q1054,BAYTEX ENERGY CORPORATION,Canada
CA7170461064,PEYTO EXPLORATION & DEVELOPMENT CORP,Canada
AU000000WPL2,WOODSIDE PETROLEUM LIMITED,Australia
NL0000360618,SBM OFFSHORE NV,Netherlands
CA96467A2002,WHITECAP RESOURCES INC.,Canada
CA2927661025,ENERPLUS CORPORATION,Canada
CA22576C1014,CRESCENT POINT ENERGY CORPORATION,Canada
CA1363851017,CANADIAN NATURAL RESOURCES LTD (PRE-MERGER),Canada
ARP9897X1319,YPF SOCIEDAD ANONIMA,Argentina
CA67072Q1046,NUVISTA ENERGY LTD,Canada
CA4480551031,HUSKY ENERGY INC.,Canada
GB00BFG3KF26,NOBLE CORPORATION PLC,United Kingdom
CA5527041084,MEG ENERGY CORPORATION,Canada
RU0009062467,GAZPROM NEFT' PAO,Russia
GB00BG12Y042,ENERGEAN OIL & GAS PLC,United Kingdom
RU000A0DKVS5,NOVATEK PAO,Russia
ROSNPPACNOR9,OMV PETROM SA,Romania
CA8672241079,SUNCOR ENERGY INCORPORATED,Canada
GB0001500809,TULLOW OIL PLC,United Kingdom
US6267171022,MURPHY OIL CORPORATION,United States
TH0355A10Z04,PTT EXPLORATION & PRODUCTION PUBLIC COMPANY LIMITED,Thailand
CNE1000003W8,PetroChina Company Limited,China
CA0906971035,BIRCHCLIFF ENERGY LTD,Canada
RU000A0J2Q06,NK ROSNEFT' PAO,Russia
GB00BGP6Q951,Nostrum Oil & Gas PLC,United Kingdom
CNE1000002Q2,CHINA PETROLEUM & CHEMICAL CORPORATION,China
CA15135U1093,CENOVUS ENERGY INC,Canada
TH0646010Z00,PTT PUBLIC COMPANY LIMITED,Thailand
GB00B43G0577,PREMIER OIL PLC,United Kingdom
BRPETRACNPR6,PETROLEO BRASILEIRO SA PETROBRAS,Brazil
HRINA0RA0007,INA DD,Croatia
